Arquivos importados,Tempo acumulado MySQL,Tempo acumulado MongoDB
474000,4410.247160999999,789.3587590000008
475000,4415.051066999999,790.9330180000007
476000,4434.677245999999,792.7112950000007
477000,4440.845422999999,794.3222820000008
478000,4448.055962999999,795.9783980000008
479000,4465.197884999999,797.6738360000007
480000,4498.0537159999985,799.4708820000008
481000,4514.952595999998,801.2216350000008
482000,4525.515945999999,802.9201720000008
483000,4538.268669999999,804.6118780000007
484000,4553.342423999999,806.7338780000007
485000,4566.521352999998,808.4194460000007
486000,4580.743510999998,810.1768550000007
487000,4592.315881999998,811.8933260000007
488000,4603.028096999998,813.5763310000007
489000,4626.830261999998,815.3263100000007
490000,4643.685777999997,817.0685490000008
491000,4660.968311999997,818.7805780000008
492000,4690.720221999997,820.8918060000008
493000,4706.976541999998,822.6532990000007
494000,4717.922676999998,824.3326490000007
495000,4729.388028999998,826.0257400000007
496000,4749.726380999998,827.8136480000007
497000,4759.294023999998,829.4717090000007
498000,4823.4651049999975,831.4489270000007
499000,4836.351587999998,833.1688700000008
500000,4844.982576999998,834.8253520000007
501000,4884.428418999998,836.6334660000008
502000,4898.245920999998,838.3335560000008
503000,4908.808519999998,840.0212410000008
504000,4936.503575999997,841.8296970000008
505000,4957.604689999997,843.5979210000008
506000,4975.495707999998,845.3634530000008
507000,5005.356404999998,847.1397470000009
508000,5016.948568999997,848.8581810000009
509000,5032.641875999997,850.5901300000008
510000,5072.615961999997,852.4970500000009
511000,5096.633792999997,854.2656580000008
512000,5115.377183999997,856.0290950000008
513000,5142.313998999997,857.8436750000008
514000,5169.160057999998,859.6292440000008
515000,5198.0336739999975,861.9827000000008
516000,5295.318999999998,864.2755300000008
517000,5314.6310749999975,866.1589990000008
518000,5356.040828999998,868.1836150000008
519000,5374.152841999998,870.0788620000009
520000,5390.998349999998,871.9654700000009
521000,5408.564465999998,873.7999530000009
522000,5425.449810999998,875.6486100000009
523000,5450.024274999998,877.5262230000009
524000,5466.673362999998,879.3825020000008
525000,5481.814388999998,881.2287460000008
526000,5497.979456999999,883.0302600000008
527000,5518.958863999998,884.8900110000008
528000,5544.005069999998,886.7599930000008
529000,5569.095719999998,888.6481880000008
530000,5581.816976999999,890.4514680000008
531000,5599.714744999998,892.2715780000008
532000,5638.451885999998,894.2747760000008
533000,5654.615500999998,896.1406070000007
534000,5663.765398999998,897.9569510000007
535000,5676.279462999998,899.7741360000007
536000,5693.904073999998,901.6379450000006
537000,5705.909583999998,903.4759840000006
