Arquivos importados,Tempo da importação no MySQL,Tempo da importação MongoDB
54000,4.571426999999999,1.2181269999999997
55000,7.673563000000008,1.2648650000000006
56000,3.6818900000000023,1.2135179999999999
57000,5.951774999999999,1.3016819999999996
58000,5.777776000000007,1.1671950000000002
59000,4.150350000000001,1.2320980000000004
60000,3.100571000000002,1.1335469999999994
61000,3.034563999999998,1.1066729999999994
62000,3.987327000000001,1.1131759999999986
63000,4.825943000000001,1.0834020000000018
64000,2.859080000000004,1.1279440000000003
65000,4.079559000000009,1.1417779999999997
66000,6.902502999999986,1.1405280000000002
67000,3.0411420000000016,1.128212999999999
68000,10.314652999999995,1.1292659999999992
69000,6.464384999999997,1.3614499999999983
70000,7.663657000000004,1.3153450000000018
71000,5.044739999999998,1.4347729999999996
72000,7.345801999999993,1.5250480000000008
73000,4.071898999999995,1.270422
74000,7.270079999999995,1.3592570000000017
75000,3.442922999999999,1.263364
76000,12.702936000000008,1.3241550000000022
77000,6.791426999999998,1.3698679999999988
78000,5.245346999999998,1.1968050000000008
79000,4.554094999999997,1.2326520000000012
80000,3.5264129999999945,1.1465130000000008
81000,8.139661000000007,1.2333799999999988
82000,8.961050000000013,1.3754870000000003
83000,5.407784999999997,1.1824069999999987
84000,3.4700620000000004,1.185396000000001
85000,55.196411000000026,1.563412999999999
86000,39.42760099999999,1.4304200000000007
87000,18.729524999999995,1.2804990000000018
88000,3.3442480000000017,1.0730600000000003
89000,2.8429970000000013,1.0672949999999986
90000,3.4241409999999983,1.1144239999999992
91000,4.414358999999995,1.2639139999999986
92000,33.54167999999996,1.429892
93000,12.900025999999992,1.2809750000000015
94000,12.018518000000004,1.3984989999999997
95000,5.313198000000011,1.177298
96000,4.457634000000003,1.4323580000000011
97000,4.897675000000007,1.4780539999999995
98000,7.622199000000007,1.5083079999999995
99000,6.543099999999993,1.3714699999999993
100000,19.120823999999995,1.444165
101000,5.508988000000013,1.0770899999999994
102000,4.487671000000001,1.1180369999999997
103000,2.8483140000000002,1.0698200000000015
104000,7.286721999999996,1.3984219999999985
105000,6.497033000000006,1.6262699999999999
106000,8.757866000000003,1.2142420000000016
107000,3.9327609999999984,1.1716250000000017
108000,7.097035000000002,1.147855000000001
109000,3.2822649999999993,1.148359
110000,7.018795000000007,1.4041759999999994
111000,3.2409989999999986,1.125598
112000,3.1199269999999966,1.117714000000001
113000,4.531956999999996,1.2372980000000005
114000,18.03908200000002,1.6364850000000006
115000,5.695508999999992,1.1033570000000004
116000,6.051559999999993,1.4253700000000018
117000,23.824074999999986,1.4023339999999995
118000,29.407377000000025,1.3699500000000002
119000,6.321165000000008,1.3524409999999984
120000,7.925654999999996,1.3517420000000016
121000,3.5941899999999976,1.3388199999999992
122000,9.932355000000003,1.2813629999999987
123000,4.349790999999996,1.4255229999999965
124000,7.141986000000002,1.2056420000000034
125000,3.9712630000000004,1.145213999999999
126000,6.386235999999997,1.3724679999999991
127000,9.335883000000008,1.852910999999998
128000,12.517046000000022,1.8417120000000011
129000,4.832984000000006,1.7312740000000015
130000,5.900858000000005,1.625849
131000,5.557895000000009,1.7927139999999995
132000,4.0411309999999965,1.6448820000000004
133000,3.6030500000000023,1.6008840000000006
134000,3.6201350000000017,1.7551060000000016
135000,8.872247999999992,1.902942999999998
136000,4.914909000000006,1.5940230000000002
137000,6.533678999999999,1.643325999999999
138000,5.608784,1.8687230000000001
139000,6.3225850000000055,1.7250139999999983
140000,6.1596639999999985,1.8660490000000018
141000,5.038958999999994,1.6929339999999982
142000,5.499762999999997,1.595108
143000,29.787879000000004,2.732833000000002
144000,5.948755000000002,1.715448
145000,4.8655289999999995,1.711867
146000,4.6861419999999985,1.697651000000002
147000,3.879703000000002,1.7059019999999976
148000,10.332780000000009,1.8889459999999991
149000,7.241146000000007,1.834776999999998
150000,4.092159000000004,1.6668320000000005
151000,5.518786999999999,1.7737719999999992
152000,6.891399999999995,1.7519149999999994
153000,7.195232999999994,1.7562100000000005
154000,9.09430300000001,1.754309
155000,10.239865999999989,1.8136870000000023
156000,9.477804999999986,1.9308479999999995
157000,4.214952,1.827566999999999
158000,7.933591,1.7324249999999999
159000,4.256587000000008,1.5941900000000009
160000,6.906869999999994,1.914826000000001
161000,5.143097000000012,1.6844490000000014
162000,8.337349999999992,1.8250230000000014
163000,8.319394999999998,1.6534530000000012
164000,21.317221999999983,1.8136369999999982
165000,7.334407,2.2848140000000043
166000,5.797354999999997,1.9578939999999991
